driver_id,round,position,grid_position,points,status,laps_completed
norris,1,1.0,1.0,25.0,Finished,57.0
max_verstappen,1,2.0,3.0,18.0,Finished,57.0
russell,1,3.0,4.0,15.0,Finished,57.0
antonelli,1,4.0,16.0,12.0,Finished,57.0
albon,1,5.0,6.0,10.0,Finished,57.0
stroll,1,6.0,13.0,8.0,Finished,57.0
hulkenberg,1,7.0,17.0,6.0,Finished,57.0
leclerc,1,8.0,7.0,4.0,Finished,57.0
piastri,1,9.0,2.0,2.0,Finished,57.0
hamilton,1,10.0,8.0,1.0,Finished,57.0
gasly,1,11.0,9.0,0.0,Finished,57.0
tsunoda,1,12.0,5.0,0.0,Finished,57.0
ocon,1,13.0,19.0,0.0,Finished,57.0
bearman,1,14.0,20.0,0.0,Finished,57.0
lawson,1,15.0,18.0,0.0,Retired,46.0
bortoleto,1,16.0,15.0,0.0,Retired,45.0
alonso,1,17.0,12.0,0.0,Retired,32.0
sainz,1,18.0,10.0,0.0,Retired,0.0
doohan,1,19.0,14.0,0.0,Retired,0.0
hadjar,1,20.0,11.0,0.0,Retired,0.0
piastri,2,1.0,1.0,25.0,Finished,56.0
norris,2,2.0,3.0,18.0,Finished,56.0
russell,2,3.0,2.0,15.0,Finished,56.0
max_verstappen,2,4.0,4.0,12.0,Finished,56.0
ocon,2,5.0,11.0,10.0,Finished,56.0
antonelli,2,6.0,8.0,8.0,Finished,56.0
albon,2,7.0,10.0,6.0,Finished,56.0
bearman,2,8.0,17.0,4.0,Finished,56.0
stroll,2,9.0,14.0,2.0,Finished,56.0
sainz,2,10.0,15.0,1.0,Finished,56.0
hadjar,2,11.0,7.0,0.0,Finished,56.0
lawson,2,12.0,20.0,0.0,Finished,56.0
doohan,2,13.0,18.0,0.0,Finished,56.0
bortoleto,2,14.0,19.0,0.0,Lapped,55.0
hulkenberg,2,15.0,12.0,0.0,Lapped,55.0
tsunoda,2,16.0,9.0,0.0,Lapped,55.0
alonso,2,17.0,13.0,0.0,Retired,4.0
leclerc,2,18.0,6.0,0.0,Disqualified,0.0
hamilton,2,19.0,5.0,0.0,Disqualified,0.0
gasly,2,20.0,16.0,0.0,Disqualified,0.0
max_verstappen,3,1.0,1.0,25.0,Finished,53.0
norris,3,2.0,2.0,18.0,Finished,53.0
piastri,3,3.0,3.0,15.0,Finished,53.0
leclerc,3,4.0,4.0,12.0,Finished,53.0
russell,3,5.0,5.0,10.0,Finished,53.0
antonelli,3,6.0,6.0,8.0,Finished,53.0
hamilton,3,7.0,8.0,6.0,Finished,53.0
hadjar,3,8.0,7.0,4.0,Finished,53.0
albon,3,9.0,9.0,2.0,Finished,53.0
bearman,3,10.0,10.0,1.0,Finished,53.0
alonso,3,11.0,12.0,0.0,Finished,53.0
tsunoda,3,12.0,14.0,0.0,Finished,53.0
gasly,3,13.0,11.0,0.0,Finished,53.0
sainz,3,14.0,15.0,0.0,Finished,53.0
doohan,3,15.0,19.0,0.0,Finished,53.0
hulkenberg,3,16.0,16.0,0.0,Finished,53.0
